model_id,link_type,material,material-age,material-age-velocity
link_0524,pipe,G1,G1,G2
link_0525,pipe,G1,G1,G2
link_0526,pipe,G2,G3,G5
link_0527,pipe,G2,G3,G5
link_0528,pipe,G1,G1,G2
link_0529,pipe,G1,G2,G3
link_0530,pipe,G1,G1,G2
link_0531,pipe,G1,G1,G2
link_0532,pipe,G1,G1,G1
link_0533,pipe,G1,G1,G1
link_0534,pipe,G2,G3,G5
link_0535,pipe,G2,G3,G5
link_0536,pipe,G1,G1,G2
link_0537,pipe,G1,G1,G2
link_0538,pipe,G1,G1,G2
link_0539,pipe,G2,G3,G5
link_0540,pipe,G2,G3,G5
link_0541,pipe,G1,G1,G2
link_0542,pipe,G1,G1,G2
link_0543,pipe,G1,G1,G2
link_0544,pipe,G2,G3,G5
link_0545,pipe,G2,G3,G5
link_0546,pipe,G1,G1,G2
link_0547,pipe,G2,G3,G5
link_0548,pipe,G1,G2,G4
link_0549,pipe,G2,G3,G5
link_0550,pipe,G2,G3,G5
link_0551,pipe,G2,G3,G5
link_0552,pipe,G1,G2,G3
link_0553,pipe,G1,G2,G4
link_0554,pipe,G2,G3,G5
link_0555,pipe,G2,G3,G5
link_0556,pipe,G1,G2,G4
link_0557,pipe,G1,G1,G2
link_0558,pipe,G1,G1,G2
link_0559,pipe,G2,G3,G5
link_0560,pipe,G2,G3,G5
link_0561,pipe,G2,G3,G5
link_0562,pipe,G2,G3,G5
link_0563,pipe,G1,G1,G1
link_0564,pipe,G1,G1,G2
link_0565,pipe,G1,G1,G2
link_0566,pipe,G1,G1,G2
link_0567,pipe,G1,G1,G2
link_0568,pipe,G1,G1,G2
link_0569,pipe,G1,G1,G2
link_0570,pipe,G1,G1,G2
link_0571,pipe,G1,G1,G1
link_0572,pipe,G1,G1,G1
link_0573,pipe,G1,G1,G2
link_0574,pipe,G1,G1,G1
link_0575,pipe,G1,G1,G2
link_0576,pipe,G1,G1,G2
link_0577,pipe,G1,G1,G2
link_0578,pipe,G1,G1,G2
link_0579,pipe,G1,G1,G2
link_0580,pipe,G1,G1,G1
link_0581,pipe,G2,G3,G5
link_0582,pipe,G2,G3,G5
link_0583,pipe,G2,G3,G5
link_0584,pipe,G2,G3,G5
link_0585,pipe,G2,G3,G5
link_0586,pipe,G2,G3,G5
link_0587,pipe,G2,G3,G5
link_0588,pipe,G2,G3,G5
link_0589,pipe,G2,G3,G5
link_0590,pipe,G2,G3,G5
link_0591,pipe,G2,G3,G5
link_0592,pipe,G2,G3,G5
link_0593,pipe,G2,G3,G5
link_0594,pipe,G2,G3,G5
link_0595,pipe,G2,G3,G5
link_0596,pipe,G2,G3,G5
link_0597,pipe,G2,G3,G5
link_0598,pipe,G2,G3,G5
link_0599,pipe,G2,G3,G5
link_0600,pipe,G2,G3,G5
link_0601,pipe,G2,G3,G5
link_0602,pipe,G2,G3,G5
link_0603,pipe,G2,G3,G5
link_0604,pipe,G2,G3,G5
link_0605,pipe,G1,G1,G2
link_0606,pipe,G2,G3,G5
link_0607,pipe,G2,G3,G5
link_0608,pipe,G2,G3,G5
link_0609,pipe,G2,G3,G5
link_0610,pipe,G2,G3,G5
link_0611,pipe,G1,G1,G1
link_0612,pipe,G1,G1,G2
link_0613,pipe,G1,G1,G2
link_0614,pipe,G1,G1,G1
link_0615,pipe,G1,G1,G2
link_0616,pipe,G1,G1,G2
link_0617,pipe,G1,G1,G2
link_0618,pipe,G1,G1,G2
link_0619,pipe,G1,G1,G2
link_0620,pipe,G1,G1,G2
link_0621,pipe,G1,G1,G1
link_0622,pipe,G1,G1,G2
link_0623,pipe,G1,G1,G2
link_0624,pipe,G1,G1,G1
link_0625,pipe,G1,G1,G2
link_0626,pipe,G2,G3,G5
link_0627,pipe,G2,G3,G5
link_0628,pipe,G2,G3,G5
link_0629,pipe,G1,G1,G1
link_0630,pipe,G1,G1,G1
link_0631,pipe,G1,G1,G1
link_0632,pipe,G1,G1,G1
link_0633,pipe,G1,G1,G1
link_0634,pipe,G1,G1,G1
link_0635,pipe,G1,G1,G2
link_0636,pipe,G1,G2,G4
link_0637,pipe,G1,G2,G4
link_0638,pipe,G1,G2,G4
link_0639,pipe,G2,G3,G5
link_0640,pipe,G2,G3,G5
link_0641,pipe,G2,G3,G5
link_0642,pipe,G2,G3,G5
link_0643,pipe,G2,G3,G5
link_0644,pipe,G2,G3,G5
link_0645,pipe,G2,G3,G5
link_0646,pipe,G1,G2,G3
link_0647,pipe,G1,G2,G3
link_0648,pipe,G1,G2,G4
link_0649,pipe,G1,G2,G4
link_0650,pipe,G2,G3,G5
link_0651,pipe,G2,G3,G5
link_0652,pipe,G2,G3,G5
link_0653,pipe,G1,G2,G4
link_0654,pipe,G2,G3,G5
link_0655,pipe,G2,G3,G5
link_0656,pipe,G2,G3,G5
link_0657,pipe,G2,G3,G5
link_0658,pipe,G2,G3,G5
link_0659,pipe,G2,G3,G5
link_0660,pipe,G2,G3,G5
link_0661,pipe,G2,G3,G5
link_0662,pipe,G2,G3,G5
link_0663,pipe,G2,G3,G5
link_0664,pipe,G2,G3,G5
link_0665,pipe,G2,G3,G5
link_0666,pipe,G2,G3,G5
link_0667,pipe,G2,G3,G5
link_0668,pipe,G2,G3,G5
link_0669,pipe,G2,G3,G5
link_0670,pipe,G2,G3,G5
link_0671,pipe,G2,G3,G5
link_0672,pipe,G2,G3,G5
link_0673,pipe,G2,G3,G5
link_0674,pipe,G2,G3,G5
link_0675,pipe,G2,G3,G5
link_0676,pipe,G2,G3,G5
link_0677,pipe,G2,G3,G5
link_0678,pipe,G2,G3,G5
link_0679,pipe,G2,G3,G5
link_0680,pipe,G2,G3,G5
link_0681,pipe,G2,G3,G5
link_0682,pipe,G2,G3,G5
link_0683,pipe,G2,G3,G5
link_0684,pipe,G2,G3,G5
link_0685,pipe,G2,G3,G5
link_0686,pipe,G2,G3,G5
link_0687,pipe,G2,G3,G5
link_0688,pipe,G2,G3,G5
link_0689,pipe,G2,G3,G5
link_0690,pipe,G2,G3,G5
link_0691,pipe,G2,G3,G5
link_0692,pipe,G2,G3,G5
link_0693,pipe,G2,G3,G5
link_0694,pipe,G2,G3,G5
link_0695,pipe,G2,G3,G5
link_0696,pipe,G2,G3,G5
link_0697,pipe,G2,G3,G5
link_0698,pipe,G2,G3,G5
link_0699,pipe,G2,G3,G5
link_0700,pipe,G2,G3,G5
link_0701,pipe,G2,G3,G5
link_0702,pipe,G2,G3,G5
link_0703,pipe,G2,G3,G5
link_0704,pipe,G2,G3,G5
link_0705,pipe,G2,G3,G5
link_0706,pipe,G2,G3,G5
link_0707,pipe,G2,G3,G5
link_0708,pipe,G2,G3,G5
link_0709,pipe,G2,G3,G5
link_0710,pipe,G2,G3,G5
link_0711,pipe,G2,G3,G5
link_0712,pipe,G2,G3,G5
link_0713,pipe,G2,G3,G5
link_0714,pipe,G2,G3,G5
link_0715,pipe,G2,G3,G5
link_0716,pipe,G2,G3,G5
link_0717,pipe,G2,G3,G5
link_0718,pipe,G2,G3,G5
link_0719,pipe,G2,G3,G5
link_0720,pipe,G2,G3,G5
link_0721,pipe,G2,G3,G5
link_0722,pipe,G2,G3,G5
link_0723,pipe,G2,G3,G5
link_0724,pipe,G2,G3,G5
link_0725,pipe,G2,G3,G5
link_0726,pipe,G2,G3,G5
link_0727,pipe,G2,G3,G5
link_0728,pipe,G2,G3,G5
link_0729,pipe,G2,G3,G5
link_0730,pipe,G2,G3,G5
link_0731,pipe,G1,G2,G4
link_0732,pipe,G1,G2,G4
link_0733,pipe,G2,G3,G5
link_0734,pipe,G2,G3,G5
link_0735,pipe,G2,G3,G5
link_0736,pipe,G1,G2,G4
link_0737,pipe,G2,G3,G5
link_0738,pipe,G2,G3,G5
link_0739,pipe,G2,G3,G5
link_0740,pipe,G2,G3,G5
link_0741,pipe,G2,G3,G5
